small,medium,large
0.056154529469495174,0.14345754440182645,0.03492553135220078
0.4877554554896051,0.3076862748603162,0.020946643449860858
0.14750871738579008,0.48460640401572164,0.1866992251962074
0.6990325190636213,0.3881066533122066,0.21854741081551765
0.15976772279827856,0.11175442688636394,0.08250908239551791
0.17986440728600428,0.12335422914111405,0.13177368560718605
0.2345061702271778,0.18949813569088292,0.0773859831642767
0.3094698474969846,0.15929064210376964,0.23349295737716602
0.42718202766809554,0.4514466989712673,0.16434758052128018
0.8121977324390173,0.3658592696529013,0.13132754585967632
0.25326164058424183,0.24043015899405873,0.07458832335396437
0.16911571784112311,0.19206364999445213,0.18620198571443325
0.06465510009911668,0.28024277051554236,0.08676113402543706
0.34496966611550306,0.4070496336898941,0.15821740097453585
0.27863919470746623,0.12525360237304994,0.21492383530494408
0.20591501932540268,0.10587554144603928,0.046608561699940765
0.24240617916802876,0.22980974355959916,0.12422475377752562
0.24966843165657338,0.11943753222385567,0.07752379513476626
0.36541569403016183,0.12652815842011478,0.10764976500649936
0.5099503321107477,0.18373880184299196,0.05437172743404517
0.19505364205997466,0.19991260587994475,0.02059084329448524
0.45331238087965176,0.194278041238249,0.1126757242527674
0.48798507383889955,0.3718599833000553,0.2083169668321716
0.2788414651968196,0.12494930313187069,0.11609834545197373
0.23457357689585479,0.11110481385640014,0.18298867004523345
0.16958606927437359,0.3274353801898542,0.10192281961280969
0.18687544917338528,0.11361551803202019,0.07233504932264623
0.1940340387800461,0.13125019947892724,0.08715738723003597
0.3090874658901157,0.17703587777032226,0.14559961416671285
1.0144663843311719,0.7753387864431716,0.14055956738411624
0.034722053536825115,0.11985467674003303,0.03270840448294621
0.33375384741339076,0.3061545469772682,0.21224945430640219
1.2679717044520658,0.2625812721944385,0.3253493564970995
0.4058930583396432,0.21062962147698272,0.1893442041509843
0.13226881773152854,0.11031152367104369,0.07256616694030527
0.7834685293182702,0.4156438593490748,0.24038701766221493
0.3265965608152328,0.19457897853044415,0.09601036843832844
0.4357492733033723,0.26695925025796896,0.1808836430664087
0.3807853022044583,0.37774412812541414,0.23826160796488693
0.4421965208448455,0.18931199832604761,0.11444335153282736
0.5130171731561859,0.17885699190628657,0.08281313602128648
0.16445765115349786,0.16625494337858981,0.12340740250328963
