Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
24.4500        -5909.61     -5976.33        66.71   300.8
24.5000        -5913.69     -5978.98        65.29   294.4
24.5500        -5908.46     -5975.99        67.52   304.4
24.6000        -5908.00     -5974.43        66.43   299.5
24.6500        -5909.92     -5976.00        66.09   297.9
24.7000        -5907.71     -5974.82        67.11   302.6
24.7500        -5909.94     -5976.77        66.83   301.3
24.8000        -5908.29     -5974.60        66.32   299.0
24.8500        -5907.34     -5972.67        65.33   294.5
24.9000        -5905.15     -5972.32        67.17   302.8
24.9500        -5908.58     -5975.64        67.07   302.4
25.0000        -5910.79     -5977.07        66.28   298.8
25.0500        -5905.75     -5974.81        69.06   311.4
25.1000        -5907.98     -5974.08        66.10   298.0
25.1500        -5911.76     -5975.61        63.85   287.9
25.2000        -5908.57     -5975.22        66.65   300.5
25.2500        -5906.11     -5973.48        67.37   303.7
25.3000        -5908.47     -5976.35        67.89   306.1
25.3500        -5910.43     -5975.08        64.65   291.5
25.4000        -5904.50     -5972.39        67.89   306.1
25.4500        -5906.65     -5970.67        64.02   288.6
25.5000        -5907.38     -5973.57        66.19   298.4
25.5500        -5911.69     -5977.40        65.71   296.2
25.6000        -5906.93     -5975.49        68.56   309.1
25.6500        -5907.86     -5973.49        65.63   295.9
25.7000        -5907.66     -5974.11        66.45   299.6
25.7500        -5905.18     -5973.55        68.37   308.3
25.8000        -5908.56     -5973.59        65.04   293.2
25.8500        -5906.13     -5974.06        67.93   306.3
25.9000        -5910.43     -5974.29        63.86   287.9
25.9500        -5907.50     -5975.02        67.52   304.4
26.0000        -5908.94     -5975.74        66.80   301.2
26.0500        -5911.29     -5977.20        65.91   297.1
26.1000        -5910.04     -5977.27        67.23   303.1
26.1500        -5906.65     -5972.36        65.70   296.2
26.2000        -5906.66     -5974.69        68.04   306.7
26.2500        -5910.91     -5975.77        64.86   292.4
26.3000        -5907.08     -5975.56        68.48   308.7
26.3500        -5910.49     -5974.59        64.11   289.0
26.4000        -5908.72     -5974.75        66.03   297.7
26.4500        -5906.84     -5974.52        67.68   305.1
