Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
17.8500        -5928.36     -5994.40        66.04   297.7
17.9000        -5928.85     -5994.84        65.99   297.5
17.9500        -5926.00     -5992.10        66.10   298.0
18.0000        -5924.77     -5990.51        65.74   296.4
18.0500        -5927.04     -5993.60        66.56   300.1
18.1000        -5926.14     -5992.79        66.65   300.5
18.1500        -5926.70     -5992.57        65.87   297.0
18.2000        -5926.12     -5993.23        67.11   302.5
18.2500        -5926.48     -5993.84        67.36   303.7
18.3000        -5927.22     -5995.43        68.22   307.5
18.3500        -5929.18     -5994.97        65.79   296.6
18.4000        -5926.52     -5993.68        67.17   302.8
18.4500        -5929.73     -5994.68        64.95   292.8
18.5000        -5927.59     -5994.68        67.10   302.5
18.5500        -5926.73     -5993.93        67.21   303.0
18.6000        -5930.07     -5996.00        65.93   297.3
18.6500        -5926.11     -5993.58        67.46   304.2
18.7000        -5929.37     -5995.98        66.61   300.3
18.7500        -5928.68     -5994.51        65.82   296.8
18.8000        -5928.89     -5994.46        65.56   295.6
18.8500        -5925.16     -5994.93        69.77   314.5
18.9000        -5930.77     -5995.77        64.99   293.0
18.9500        -5929.76     -5995.53        65.77   296.5
19.0000        -5928.81     -5993.68        64.87   292.5
19.0500        -5927.82     -5994.02        66.20   298.4
19.1000        -5928.33     -5995.55        67.22   303.1
19.1500        -5932.64     -5997.56        64.92   292.7
19.2000        -5928.60     -5996.55        67.95   306.3
19.2500        -5926.25     -5992.70        66.45   299.6
19.3000        -5924.61     -5993.30        68.69   309.7
19.3500        -5929.53     -5994.17        64.64   291.4
19.4000        -5928.98     -5995.74        66.76   301.0
19.4500        -5925.68     -5991.93        66.25   298.7
19.5000        -5928.05     -5993.32        65.27   294.2
19.5500        -5925.83     -5992.84        67.01   302.1
19.6000        -5927.05     -5991.31        64.26   289.7
19.6500        -5922.99     -5991.99        68.99   311.1
19.7000        -5925.96     -5991.47        65.51   295.4
19.7500        -5927.15     -5992.81        65.66   296.0
19.8000        -5924.41     -5991.41        67.00   302.1
19.8500        -5925.29     -5991.08        65.79   296.6
19.9000        -5926.30     -5993.90        67.60   304.8
19.9500        -5930.83     -5995.60        64.77   292.0
20.0000        -5928.90     -5995.26        66.36   299.2
20.0500        -5925.01     -5991.09        66.08   297.9
20.1000        -5927.73     -5994.38        66.64   300.5
20.1500        -5929.82     -5996.60        66.78   301.0
20.2000        -5924.73     -5991.29        66.56   300.1
20.2500        -5922.38     -5990.27        67.89   306.1
20.3000        -5927.70     -5993.46        65.76   296.5
20.3500        -5927.57     -5992.48        64.91   292.6
20.4000        -5924.94     -5991.51        66.57   300.1
20.4500        -5926.73     -5993.41        66.68   300.6
20.5000        -5931.28     -5996.10        64.83   292.3
20.5500        -5926.34     -5993.34        67.00   302.1
20.6000        -5924.36     -5990.49        66.13   298.1
20.6500        -5925.60     -5992.79        67.19   302.9
20.7000        -5926.86     -5993.80        66.94   301.8
20.7500        -5925.82     -5992.19        66.37   299.2
20.8000        -5926.14     -5992.20        66.05   297.8
20.8500        -5929.00     -5994.20        65.20   294.0
