Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
12.4500     -1190576.52  -1190643.94        67.42   303.9
12.5000     -1190578.85  -1190643.10        64.26   289.7
12.5500     -1190576.13  -1190643.44        67.31   303.5
12.6000     -1190577.22  -1190644.21        66.99   302.0
12.6500     -1190578.90  -1190644.72        65.82   296.8
12.7000     -1190578.37  -1190643.97        65.60   295.7
12.7500     -1190574.77  -1190642.87        68.10   307.0
12.8000     -1190579.90  -1190645.60        65.70   296.2
12.8500     -1190578.92  -1190647.47        68.54   309.0
12.9000     -1190575.58  -1190642.77        67.19   302.9
12.9500     -1190579.20  -1190645.74        66.55   300.0
13.0000     -1190580.05  -1190645.71        65.66   296.0
13.0500     -1190577.21  -1190644.89        67.68   305.1
13.1000     -1190576.53  -1190642.81        66.28   298.8
13.1500     -1190577.64  -1190642.39        64.75   291.9
13.2000     -1190573.47  -1190639.68        66.21   298.5
13.2500     -1190575.62  -1190641.02        65.40   294.9
13.3000     -1190577.02  -1190643.72        66.70   300.7
13.3500     -1190576.82  -1190643.01        66.19   298.4
13.4000     -1190575.53  -1190642.50        66.96   301.9
13.4500     -1190576.89  -1190644.81        67.92   306.2
13.5000     -1190578.79  -1190645.13        66.34   299.1
13.5500     -1190579.85  -1190646.47        66.62   300.4
13.6000     -1190578.55  -1190645.49        66.94   301.8
13.6500     -1190576.65  -1190642.27        65.62   295.8
13.7000     -1190574.73  -1190642.21        67.48   304.2
13.7500     -1190578.58  -1190644.74        66.16   298.3
13.8000     -1190581.30  -1190645.13        63.83   287.8
13.8500     -1190579.00  -1190647.14        68.14   307.2
13.9000     -1190577.37  -1190643.01        65.64   295.9
13.9500     -1190577.21  -1190644.27        67.07   302.4
14.0000     -1190581.53  -1190646.83        65.30   294.4
14.0500     -1190581.55  -1190646.79        65.24   294.1
14.1000     -1190575.55  -1190644.24        68.70   309.7
14.1500     -1190580.31  -1190645.05        64.75   291.9
14.2000     -1190581.47  -1190646.97        65.51   295.3
14.2500     -1190577.46  -1190645.73        68.27   307.8
14.3000     -1190580.01  -1190643.22        63.21   285.0
14.3500     -1190577.32  -1190643.23        65.91   297.1
14.4000     -1190580.35  -1190646.54        66.19   298.4
14.4500     -1190584.64  -1190646.93        62.28   280.8
14.5000     -1190579.37  -1190645.49        66.12   298.1
14.5500     -1190579.21  -1190646.02        66.82   301.2
14.6000     -1190583.30  -1190648.63        65.33   294.5
14.6500     -1190580.16  -1190647.11        66.96   301.9
14.7000     -1190580.31  -1190649.40        69.09   311.5
14.7500     -1190585.04  -1190649.68        64.63   291.4
14.8000     -1190581.11  -1190649.13        68.02   306.7
